[21:49:10] Angle: 209.9° | Speed: 0.017 |   3 km/h
[21:49:10] Angle: 209.1° | Speed: 0.014 |   2 km/h
[21:49:11] Angle: 207.8° | Speed: 0.011 |   2 km/h
[21:49:11] Angle: 205.3° | Speed: 0.009 |   1 km/h
[21:49:11] Angle: 203.0° | Speed: 0.007 |   1 km/h
[21:49:11] Angle: 200.1° | Speed: 0.006 |   1 km/h
[21:49:11] Angle: 199.0° | Speed: 0.005 |   0 km/h
[21:49:11] Angle: 197.0° | Speed: 0.004 |   0 km/h
[21:49:11] Angle: 195.1° | Speed: 0.003 |   0 km/h
[21:49:11] Angle: 194.0° | Speed: 0.002 |   0 km/h
[21:49:12] Angle: 193.0° | Speed: 0.002 |   0 km/h
[21:49:12] Angle: 191.1° | Speed: 0.001 |   0 km/h
[21:49:12] Angle: 189.5° | Speed: 0.002 |   0 km/h
[21:49:12] Angle: 188.5° | Speed: 0.004 |   0 km/h
[21:49:12] Angle: 186.7° | Speed: 0.008 |   1 km/h
[21:49:12] Angle: 185.8° | Speed: 0.013 |   2 km/h
[21:49:12] Angle: 184.1° | Speed: 0.019 |   3 km/h
[21:49:12] Angle: 183.3° | Speed: 0.026 |   5 km/h
[21:49:12] Angle: 181.6° | Speed: 0.034 |   6 km/h
[21:49:13] Angle: 180.8° | Speed: 0.041 |   8 km/h
[21:49:13] Angle: 179.2° | Speed: 0.049 |   9 km/h
[21:49:13] Angle: 177.6° | Speed: 0.059 |  11 km/h
[21:49:13] Angle: 176.8° | Speed: 0.067 |  13 km/h
[21:49:13] Angle: 175.2° | Speed: 0.077 |  15 km/h
[21:49:13] Angle: 174.5° | Speed: 0.085 |  17 km/h
[21:49:13] Angle: 173.1° | Speed: 0.094 |  18 km/h
[21:49:13] Angle: 172.2° | Speed: 0.103 |  20 km/h
[21:49:14] Angle: 171.4° | Speed: 0.111 |  22 km/h
[21:49:14] Angle: 169.9° | Speed: 0.119 |  23 km/h
[21:49:14] Angle: 168.5° | Speed: 0.129 |  25 km/h
[21:49:14] Angle: 167.9° | Speed: 0.137 |  27 km/h
[21:49:14] Angle: 167.3° | Speed: 0.144 |  28 km/h
[21:49:14] Angle: 166.1° | Speed: 0.152 |  30 km/h
[21:49:14] Angle: 165.6° | Speed: 0.159 |  31 km/h
[21:49:14] Angle: 164.7° | Speed: 0.166 |  33 km/h
[21:49:14] Angle: 164.1° | Speed: 0.173 |  34 km/h
[21:49:15] Angle: 166.1° | Speed: 0.175 |  35 km/h
[21:49:15] Angle: 166.1° | Speed: 0.177 |  35 km/h
[21:49:15] Angle: 165.6° | Speed: 0.179 |  35 km/h
[21:49:15] Angle: 168.5° | Speed: 0.176 |  35 km/h
[21:49:15] Angle: 172.3° | Speed: 0.168 |  33 km/h
[21:49:15] Angle: 176.8° | Speed: 0.155 |  30 km/h
[21:49:15] Angle: 180.8° | Speed: 0.138 |  27 km/h
[21:49:15] Angle: 185.0° | Speed: 0.118 |  23 km/h
[21:49:15] Angle: 189.5° | Speed: 0.095 |  19 km/h
[21:49:16] Angle: 189.5° | Speed: 0.077 |  15 km/h
[21:49:16] Angle: 189.3° | Speed: 0.063 |  12 km/h
[21:49:16] Angle: 187.5° | Speed: 0.054 |  10 km/h
[21:49:16] Angle: 186.6° | Speed: 0.048 |   9 km/h
[21:49:16] Angle: 185.0° | Speed: 0.046 |   9 km/h
[21:49:16] Angle: 184.1° | Speed: 0.046 |   9 km/h
[21:49:16] Angle: 182.4° | Speed: 0.049 |   9 km/h
[21:49:16] Angle: 181.6° | Speed: 0.052 |  10 km/h
[21:49:17] Angle: 180.0° | Speed: 0.057 |  11 km/h
[21:49:17] Angle: 179.2° | Speed: 0.062 |  12 km/h
[21:49:17] Angle: 177.6° | Speed: 0.069 |  13 km/h
[21:49:17] Angle: 176.8° | Speed: 0.075 |  15 km/h
[21:49:17] Angle: 175.3° | Speed: 0.083 |  16 km/h
[21:49:17] Angle: 174.4° | Speed: 0.090 |  18 km/h
[21:49:17] Angle: 173.1° | Speed: 0.098 |  19 km/h
[21:49:17] Angle: 172.2° | Speed: 0.106 |  21 km/h
[21:49:17] Angle: 170.8° | Speed: 0.114 |  22 km/h
[21:49:18] Angle: 169.9° | Speed: 0.122 |  24 km/h
[21:49:18] Angle: 168.4° | Speed: 0.131 |  26 km/h
[21:49:18] Angle: 167.9° | Speed: 0.139 |  27 km/h
[21:49:18] Angle: 166.6° | Speed: 0.147 |  29 km/h
[21:49:18] Angle: 166.1° | Speed: 0.154 |  30 km/h
[21:49:18] Angle: 165.6° | Speed: 0.161 |  32 km/h
[21:49:18] Angle: 166.1° | Speed: 0.166 |  33 km/h
[21:49:18] Angle: 164.1° | Speed: 0.172 |  34 km/h
[21:49:19] Angle: 163.7° | Speed: 0.178 |  35 km/h
[21:49:19] Angle: 160.6° | Speed: 0.188 |  37 km/h
[21:49:19] Angle: 160.0° | Speed: 0.197 |  39 km/h
[21:49:19] Angle: 158.6° | Speed: 0.206 |  41 km/h
[21:49:19] Angle: 157.9° | Speed: 0.214 |  42 km/h
[21:49:19] Angle: 156.6° | Speed: 0.222 |  44 km/h
[21:49:19] Angle: 156.0° | Speed: 0.230 |  46 km/h
[21:49:19] Angle: 156.3° | Speed: 0.236 |  47 km/h
[21:49:19] Angle: 156.3° | Speed: 0.241 |  48 km/h
[21:49:20] Angle: 156.3° | Speed: 0.244 |  48 km/h
[21:49:20] Angle: 154.9° | Speed: 0.250 |  49 km/h
[21:49:20] Angle: 154.0° | Speed: 0.255 |  51 km/h
[21:49:20] Angle: 154.9° | Speed: 0.258 |  51 km/h
[21:49:20] Angle: 156.3° | Speed: 0.258 |  51 km/h
