[21:49:47] Angle: 108.1° | Speed: 0.630 | 125 km/h
[21:49:47] Angle: 108.1° | Speed: 0.630 | 125 km/h
[21:49:48] Angle: 108.1° | Speed: 0.630 | 125 km/h
[21:49:48] Angle: 108.1° | Speed: 0.630 | 125 km/h
[21:49:48] Angle: 108.1° | Speed: 0.630 | 125 km/h
[21:49:48] Angle: 108.1° | Speed: 0.630 | 125 km/h
[21:49:48] Angle: 107.7° | Speed: 0.631 | 126 km/h
[21:49:48] Angle: 106.5° | Speed: 0.633 | 126 km/h
[21:49:48] Angle: 106.5° | Speed: 0.635 | 126 km/h
[21:49:48] Angle: 106.5° | Speed: 0.636 | 127 km/h
[21:49:49] Angle: 106.5° | Speed: 0.638 | 127 km/h
[21:49:49] Angle: 106.5° | Speed: 0.639 | 127 km/h
[21:49:49] Angle: 106.5° | Speed: 0.639 | 127 km/h
[21:49:49] Angle: 106.4° | Speed: 0.640 | 128 km/h
[21:49:49] Angle: 106.5° | Speed: 0.641 | 128 km/h
[21:49:49] Angle: 105.6° | Speed: 0.642 | 128 km/h
[21:49:49] Angle: 108.3° | Speed: 0.640 | 127 km/h
[21:49:49] Angle: 113.6° | Speed: 0.629 | 125 km/h
[21:49:49] Angle: 117.1° | Speed: 0.615 | 123 km/h
[21:49:50] Angle: 121.5° | Speed: 0.598 | 119 km/h
[21:49:50] Angle: 125.7° | Speed: 0.577 | 115 km/h
[21:49:50] Angle: 130.3° | Speed: 0.554 | 110 km/h
[21:49:50] Angle: 134.1° | Speed: 0.529 | 105 km/h
[21:49:50] Angle: 137.9° | Speed: 0.503 | 100 km/h
[21:49:50] Angle: 142.3° | Speed: 0.476 |  95 km/h
[21:49:50] Angle: 146.3° | Speed: 0.448 |  89 km/h
[21:49:50] Angle: 152.3° | Speed: 0.416 |  83 km/h
[21:49:51] Angle: 156.3° | Speed: 0.385 |  77 km/h
[21:49:51] Angle: 158.6° | Speed: 0.356 |  71 km/h
[21:49:51] Angle: 164.1° | Speed: 0.325 |  64 km/h
[21:49:51] Angle: 167.3° | Speed: 0.295 |  58 km/h
[21:49:51] Angle: 171.4° | Speed: 0.264 |  52 km/h
[21:49:51] Angle: 169.9° | Speed: 0.242 |  48 km/h
[21:49:51] Angle: 168.5° | Speed: 0.227 |  45 km/h
[21:49:51] Angle: 167.9° | Speed: 0.216 |  43 km/h
[21:49:51] Angle: 167.3° | Speed: 0.207 |  41 km/h
[21:49:52] Angle: 166.1° | Speed: 0.203 |  40 km/h
[21:49:52] Angle: 165.6° | Speed: 0.200 |  39 km/h
[21:49:52] Angle: 166.1° | Speed: 0.196 |  39 km/h
[21:49:52] Angle: 164.1° | Speed: 0.197 |  39 km/h
[21:49:52] Angle: 163.7° | Speed: 0.198 |  39 km/h
[21:49:52] Angle: 160.6° | Speed: 0.204 |  40 km/h
[21:49:52] Angle: 159.3° | Speed: 0.210 |  42 km/h
[21:49:52] Angle: 158.6° | Speed: 0.217 |  43 km/h
[21:49:53] Angle: 157.9° | Speed: 0.223 |  44 km/h
[21:49:53] Angle: 156.6° | Speed: 0.229 |  45 km/h
[21:49:53] Angle: 156.0° | Speed: 0.236 |  47 km/h
[21:49:53] Angle: 156.3° | Speed: 0.241 |  48 km/h
[21:49:53] Angle: 156.3° | Speed: 0.244 |  48 km/h
[21:49:53] Angle: 156.3° | Speed: 0.247 |  49 km/h
[21:49:53] Angle: 154.9° | Speed: 0.252 |  50 km/h
[21:49:53] Angle: 154.0° | Speed: 0.257 |  51 km/h
[21:49:53] Angle: 153.1° | Speed: 0.262 |  52 km/h
[21:49:54] Angle: 152.3° | Speed: 0.268 |  53 km/h
[21:49:54] Angle: 149.6° | Speed: 0.276 |  55 km/h
[21:49:54] Angle: 149.0° | Speed: 0.284 |  56 km/h
[21:49:54] Angle: 154.9° | Speed: 0.281 |  56 km/h
[21:49:54] Angle: 157.3° | Speed: 0.275 |  55 km/h
[21:49:54] Angle: 161.3° | Speed: 0.264 |  52 km/h
[21:49:54] Angle: 166.1° | Speed: 0.248 |  49 km/h
[21:49:54] Angle: 169.9° | Speed: 0.230 |  45 km/h
[21:49:55] Angle: 173.7° | Speed: 0.209 |  41 km/h
[21:49:55] Angle: 177.6° | Speed: 0.186 |  37 km/h
[21:49:55] Angle: 182.4° | Speed: 0.160 |  32 km/h
[21:49:55] Angle: 186.6° | Speed: 0.134 |  26 km/h
[21:49:55] Angle: 191.1° | Speed: 0.107 |  21 km/h
[21:49:55] Angle: 195.1° | Speed: 0.085 |  17 km/h
[21:49:55] Angle: 199.8° | Speed: 0.068 |  13 km/h
[21:49:55] Angle: 203.7° | Speed: 0.055 |  10 km/h
[21:49:55] Angle: 207.8° | Speed: 0.044 |   8 km/h
[21:49:56] Angle: 209.9° | Speed: 0.035 |   7 km/h
[21:49:56] Angle: 209.9° | Speed: 0.028 |   5 km/h
[21:49:56] Angle: 209.9° | Speed: 0.022 |   4 km/h
[21:49:56] Angle: 209.9° | Speed: 0.018 |   3 km/h
[21:49:56] Angle: 209.9° | Speed: 0.014 |   2 km/h
[21:49:56] Angle: 209.9° | Speed: 0.011 |   2 km/h
[21:49:56] Angle: 209.9° | Speed: 0.009 |   1 km/h
[21:49:56] Angle: 209.9° | Speed: 0.007 |   1 km/h
[21:49:57] Angle: 209.9° | Speed: 0.006 |   1 km/h
[21:49:57] Angle: 209.9° | Speed: 0.005 |   0 km/h
[21:49:57] Angle: 209.9° | Speed: 0.004 |   0 km/h
[21:49:57] Angle: 209.9° | Speed: 0.003 |   0 km/h
[21:49:57] Angle: 209.9° | Speed: 0.002 |   0 km/h
[21:49:57] Angle: 209.9° | Speed: 0.002 |   0 km/h
[21:49:57] Angle: 209.5° | Speed: 0.002 |   0 km/h
[21:49:57] Angle: 209.1° | Speed: 0.001 |   0 km/h
[21:49:57] Angle: 208.2° | Speed: 0.001 |   0 km/h
[21:49:58] Angle: 207.8° | Speed: 0.001 |   0 km/h
[21:49:58] Angle: 207.8° | Speed: 0.001 |   0 km/h
[21:49:58] Angle: 206.6° | Speed: 0.001 |   0 km/h
[21:49:58] Angle: 206.6° | Speed: 0.000 |   0 km/h
[21:49:58] Angle: 205.7° | Speed: 0.000 |   0 km/h
[21:49:58] Angle: 205.3° | Speed: 0.000 |   0 km/h
[21:49:58] Angle: 203.0° | Speed: 0.000 |   0 km/h
[21:49:58] Angle: 201.0° | Speed: 0.000 |   0 km/h
[21:49:58] Angle: 198.7° | Speed: 0.000 |   0 km/h
[21:49:59] Angle: 197.0° | Speed: 0.000 |   0 km/h
[21:49:59] Angle: 195.9° | Speed: 0.000 |   0 km/h
[21:49:59] Angle: 194.0° | Speed: 0.000 |   0 km/h
[21:49:59] Angle: 193.0° | Speed: 0.000 |   0 km/h
[21:49:59] Angle: 191.1° | Speed: 0.000 |   0 km/h
[21:49:59] Angle: 189.5° | Speed: 0.001 |   0 km/h
[21:49:59] Angle: 189.3° | Speed: 0.002 |   0 km/h
[21:49:59] Angle: 189.5° | Speed: 0.002 |   0 km/h
[21:50:00] Angle: 190.2° | Speed: 0.002 |   0 km/h
[21:50:00] Angle: 190.2° | Speed: 0.001 |   0 km/h
[21:50:00] Angle: 190.3° | Speed: 0.001 |   0 km/h
[21:50:00] Angle: 191.1° | Speed: 0.001 |   0 km/h
[21:50:00] Angle: 191.0° | Speed: 0.001 |   0 km/h
[21:50:00] Angle: 191.1° | Speed: 0.001 |   0 km/h
[21:50:00] Angle: 190.2° | Speed: 0.000 |   0 km/h
[21:50:00] Angle: 188.5° | Speed: 0.003 |   0 km/h
[21:50:01] Angle: 187.5° | Speed: 0.006 |   1 km/h
[21:50:01] Angle: 185.8° | Speed: 0.011 |   2 km/h
[21:50:01] Angle: 185.0° | Speed: 0.017 |   3 km/h
[21:50:01] Angle: 185.0° | Speed: 0.021 |   4 km/h
[21:50:01] Angle: 187.5° | Speed: 0.021 |   4 km/h
[21:50:01] Angle: 192.0° | Speed: 0.017 |   3 km/h
[21:50:01] Angle: 196.8° | Speed: 0.013 |   2 km/h
[21:50:01] Angle: 201.0° | Speed: 0.011 |   2 km/h
[21:50:01] Angle: 203.0° | Speed: 0.008 |   1 km/h
[21:50:02] Angle: 203.0° | Speed: 0.007 |   1 km/h
[21:50:02] Angle: 201.8° | Speed: 0.005 |   1 km/h
[21:50:02] Angle: 199.8° | Speed: 0.004 |   0 km/h
[21:50:02] Angle: 197.9° | Speed: 0.003 |   0 km/h
[21:50:02] Angle: 196.2° | Speed: 0.003 |   0 km/h
[21:50:02] Angle: 194.9° | Speed: 0.002 |   0 km/h
[21:50:02] Angle: 193.0° | Speed: 0.002 |   0 km/h
[21:50:02] Angle: 192.0° | Speed: 0.001 |   0 km/h
[21:50:02] Angle: 191.1° | Speed: 0.001 |   0 km/h
[21:50:03] Angle: 191.1° | Speed: 0.001 |   0 km/h
[21:50:03] Angle: 191.1° | Speed: 0.001 |   0 km/h
[21:50:03] Angle: 191.3° | Speed: 0.001 |   0 km/h
[21:50:03] Angle: 191.1° | Speed: 0.000 |   0 km/h
[21:50:03] Angle: 189.5° | Speed: 0.001 |   0 km/h
[21:50:03] Angle: 188.5° | Speed: 0.003 |   0 km/h
[21:50:03] Angle: 187.5° | Speed: 0.006 |   1 km/h
[21:50:03] Angle: 187.5° | Speed: 0.009 |   1 km/h
[21:50:04] Angle: 187.5° | Speed: 0.011 |   2 km/h
[21:50:04] Angle: 188.5° | Speed: 0.011 |   2 km/h
[21:50:04] Angle: 188.5° | Speed: 0.011 |   2 km/h
[21:50:04] Angle: 186.6° | Speed: 0.014 |   2 km/h
[21:50:04] Angle: 185.8° | Speed: 0.018 |   3 km/h
[21:50:04] Angle: 185.0° | Speed: 0.022 |   4 km/h
[21:50:04] Angle: 185.0° | Speed: 0.025 |   5 km/h
[21:50:04] Angle: 188.5° | Speed: 0.023 |   4 km/h
[21:50:04] Angle: 192.8° | Speed: 0.018 |   3 km/h
[21:50:05] Angle: 197.9° | Speed: 0.014 |   2 km/h
[21:50:05] Angle: 199.0° | Speed: 0.012 |   2 km/h
[21:50:05] Angle: 199.0° | Speed: 0.009 |   1 km/h
[21:50:05] Angle: 199.0° | Speed: 0.007 |   1 km/h
[21:50:05] Angle: 199.0° | Speed: 0.006 |   1 km/h
[21:50:05] Angle: 198.7° | Speed: 0.005 |   0 km/h
[21:50:05] Angle: 197.0° | Speed: 0.004 |   0 km/h
[21:50:05] Angle: 195.9° | Speed: 0.003 |   0 km/h
[21:50:06] Angle: 194.0° | Speed: 0.002 |   0 km/h
[21:50:06] Angle: 192.8° | Speed: 0.002 |   0 km/h
[21:50:06] Angle: 191.1° | Speed: 0.002 |   0 km/h
[21:50:06] Angle: 189.5° | Speed: 0.002 |   0 km/h
[21:50:06] Angle: 188.5° | Speed: 0.004 |   0 km/h
[21:50:06] Angle: 187.5° | Speed: 0.007 |   1 km/h
[21:50:06] Angle: 185.8° | Speed: 0.012 |   2 km/h
[21:50:06] Angle: 184.2° | Speed: 0.019 |   3 km/h
[21:50:06] Angle: 183.3° | Speed: 0.025 |   5 km/h
[21:50:07] Angle: 181.6° | Speed: 0.033 |   6 km/h
[21:50:07] Angle: 180.8° | Speed: 0.041 |   8 km/h
[21:50:07] Angle: 180.0° | Speed: 0.048 |   9 km/h
[21:50:07] Angle: 180.8° | Speed: 0.052 |  10 km/h
[21:50:07] Angle: 180.8° | Speed: 0.056 |  11 km/h
[21:50:07] Angle: 181.6° | Speed: 0.058 |  11 km/h
[21:50:07] Angle: 185.8° | Speed: 0.053 |  10 km/h
[21:50:07] Angle: 190.3° | Speed: 0.042 |   8 km/h
[21:50:08] Angle: 195.1° | Speed: 0.034 |   6 km/h
[21:50:08] Angle: 199.8° | Speed: 0.027 |   5 km/h
[21:50:08] Angle: 203.3° | Speed: 0.022 |   4 km/h
[21:50:08] Angle: 207.8° | Speed: 0.017 |   3 km/h
[21:50:08] Angle: 209.1° | Speed: 0.014 |   2 km/h
[21:50:08] Angle: 209.1° | Speed: 0.011 |   2 km/h
[21:50:08] Angle: 208.2° | Speed: 0.009 |   1 km/h
[21:50:08] Angle: 206.6° | Speed: 0.007 |   1 km/h
[21:50:08] Angle: 204.1° | Speed: 0.006 |   1 km/h
[21:50:09] Angle: 202.1° | Speed: 0.005 |   0 km/h
[21:50:09] Angle: 199.8° | Speed: 0.004 |   0 km/h
[21:50:09] Angle: 197.9° | Speed: 0.003 |   0 km/h
[21:50:09] Angle: 196.8° | Speed: 0.002 |   0 km/h
[21:50:09] Angle: 195.1° | Speed: 0.002 |   0 km/h
[21:50:09] Angle: 193.0° | Speed: 0.001 |   0 km/h
[21:50:09] Angle: 192.0° | Speed: 0.001 |   0 km/h
[21:50:09] Angle: 191.1° | Speed: 0.001 |   0 km/h
[21:50:10] Angle: 189.3° | Speed: 0.002 |   0 km/h
[21:50:10] Angle: 187.5° | Speed: 0.005 |   1 km/h
[21:50:10] Angle: 186.6° | Speed: 0.009 |   1 km/h
[21:50:10] Angle: 185.0° | Speed: 0.015 |   3 km/h
[21:50:10] Angle: 184.1° | Speed: 0.021 |   4 km/h
[21:50:10] Angle: 182.4° | Speed: 0.029 |   5 km/h
[21:50:10] Angle: 181.6° | Speed: 0.036 |   7 km/h
[21:50:10] Angle: 181.6° | Speed: 0.042 |   8 km/h
[21:50:10] Angle: 182.4° | Speed: 0.045 |   8 km/h
[21:50:11] Angle: 182.4° | Speed: 0.048 |   9 km/h
[21:50:11] Angle: 183.3° | Speed: 0.048 |   9 km/h
[21:50:11] Angle: 183.3° | Speed: 0.049 |   9 km/h
[21:50:11] Angle: 184.1° | Speed: 0.048 |   9 km/h
[21:50:11] Angle: 188.5° | Speed: 0.041 |   8 km/h
[21:50:11] Angle: 192.8° | Speed: 0.033 |   6 km/h
[21:50:11] Angle: 197.0° | Speed: 0.026 |   5 km/h
[21:50:11] Angle: 201.3° | Speed: 0.021 |   4 km/h
[21:50:12] Angle: 205.7° | Speed: 0.017 |   3 km/h
[21:50:12] Angle: 209.9° | Speed: 0.013 |   2 km/h
[21:50:12] Angle: 209.9° | Speed: 0.011 |   2 km/h
[21:50:12] Angle: 209.9° | Speed: 0.009 |   1 km/h
[21:50:12] Angle: 209.9° | Speed: 0.007 |   1 km/h
[21:50:12] Angle: 209.1° | Speed: 0.005 |   1 km/h
[21:50:12] Angle: 208.2° | Speed: 0.004 |   0 km/h
[21:50:12] Angle: 208.2° | Speed: 0.004 |   0 km/h
[21:50:12] Angle: 207.8° | Speed: 0.003 |   0 km/h
[21:50:13] Angle: 207.0° | Speed: 0.002 |   0 km/h
[21:50:13] Angle: 206.6° | Speed: 0.002 |   0 km/h
[21:50:13] Angle: 205.7° | Speed: 0.001 |   0 km/h
[21:50:13] Angle: 205.3° | Speed: 0.001 |   0 km/h
[21:50:13] Angle: 205.3° | Speed: 0.001 |   0 km/h
[21:50:13] Angle: 204.5° | Speed: 0.001 |   0 km/h
[21:50:13] Angle: 204.1° | Speed: 0.001 |   0 km/h
[21:50:13] Angle: 203.7° | Speed: 0.000 |   0 km/h
[21:50:14] Angle: 203.3° | Speed: 0.000 |   0 km/h
[21:50:14] Angle: 203.0° | Speed: 0.000 |   0 km/h
[21:50:14] Angle: 203.0° | Speed: 0.000 |   0 km/h
[21:50:14] Angle: 202.1° | Speed: 0.000 |   0 km/h
[21:50:14] Angle: 201.8° | Speed: 0.000 |   0 km/h
[21:50:14] Angle: 201.3° | Speed: 0.000 |   0 km/h
[21:50:14] Angle: 201.0° | Speed: 0.000 |   0 km/h
[21:50:14] Angle: 201.0° | Speed: 0.000 |   0 km/h
[21:50:14] Angle: 200.1° | Speed: 0.000 |   0 km/h
[21:50:15] Angle: 199.8° | Speed: 0.000 |   0 km/h
[21:50:15] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:15] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:15] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:15] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:15] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:15] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:15] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:16] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:16] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:16] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:16] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:16] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:16] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:16] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:16] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:16] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:17] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:17] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:17] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:17] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:17] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:17] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:17] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:17] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:18] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:18] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:18] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:18] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:18] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:18] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:18] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:18] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:18] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:19] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:19] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:19] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:19] Angle: 199.0° | Speed: 0.000 |   0 km/h
[21:50:19] Angle: 198.7° | Speed: 0.000 |   0 km/h
[21:50:19] Angle: 197.0° | Speed: 0.000 |   0 km/h
[21:50:19] Angle: 195.9° | Speed: 0.000 |   0 km/h
[21:50:19] Angle: 194.0° | Speed: 0.000 |   0 km/h
[21:50:19] Angle: 193.0° | Speed: 0.000 |   0 km/h
[21:50:20] Angle: 191.1° | Speed: 0.000 |   0 km/h
[21:50:20] Angle: 189.5° | Speed: 0.001 |   0 km/h
[21:50:20] Angle: 188.5° | Speed: 0.003 |   0 km/h
[21:50:20] Angle: 186.7° | Speed: 0.007 |   1 km/h
[21:50:20] Angle: 187.5° | Speed: 0.010 |   1 km/h
[21:50:20] Angle: 187.5° | Speed: 0.012 |   2 km/h
[21:50:20] Angle: 187.5° | Speed: 0.013 |   2 km/h
[21:50:20] Angle: 187.5° | Speed: 0.014 |   2 km/h
[21:50:21] Angle: 188.5° | Speed: 0.014 |   2 km/h
[21:50:21] Angle: 188.5° | Speed: 0.013 |   2 km/h
[21:50:21] Angle: 189.3° | Speed: 0.012 |   2 km/h
[21:50:21] Angle: 189.3° | Speed: 0.010 |   2 km/h
[21:50:21] Angle: 188.5° | Speed: 0.011 |   2 km/h
[21:50:21] Angle: 187.5° | Speed: 0.012 |   2 km/h
[21:50:21] Angle: 185.9° | Speed: 0.016 |   3 km/h
[21:50:21] Angle: 186.6° | Speed: 0.018 |   3 km/h
[21:50:21] Angle: 185.8° | Speed: 0.021 |   4 km/h
[21:50:22] Angle: 184.1° | Speed: 0.026 |   5 km/h
[21:50:22] Angle: 184.1° | Speed: 0.030 |   5 km/h
[21:50:22] Angle: 185.0° | Speed: 0.031 |   6 km/h
[21:50:22] Angle: 185.0° | Speed: 0.033 |   6 km/h
[21:50:22] Angle: 183.3° | Speed: 0.037 |   7 km/h
[21:50:22] Angle: 181.6° | Speed: 0.042 |   8 km/h
[21:50:22] Angle: 181.6° | Speed: 0.047 |   9 km/h
[21:50:22] Angle: 181.6° | Speed: 0.050 |  10 km/h
[21:50:23] Angle: 180.8° | Speed: 0.054 |  10 km/h
[21:50:23] Angle: 179.2° | Speed: 0.060 |  12 km/h
[21:50:23] Angle: 179.2° | Speed: 0.065 |  12 km/h
[21:50:23] Angle: 179.2° | Speed: 0.068 |  13 km/h
[21:50:23] Angle: 180.0° | Speed: 0.070 |  14 km/h
[21:50:23] Angle: 180.0° | Speed: 0.071 |  14 km/h
[21:50:23] Angle: 180.8° | Speed: 0.071 |  14 km/h
[21:50:23] Angle: 180.0° | Speed: 0.072 |  14 km/h
[21:50:23] Angle: 179.2° | Speed: 0.075 |  14 km/h
[21:50:24] Angle: 177.6° | Speed: 0.079 |  15 km/h
[21:50:24] Angle: 176.0° | Speed: 0.084 |  16 km/h
[21:50:24] Angle: 175.3° | Speed: 0.090 |  18 km/h
[21:50:24] Angle: 174.4° | Speed: 0.096 |  19 km/h
[21:50:24] Angle: 173.1° | Speed: 0.103 |  20 km/h
[21:50:24] Angle: 171.5° | Speed: 0.111 |  22 km/h
[21:50:24] Angle: 170.7° | Speed: 0.118 |  23 km/h
[21:50:24] Angle: 169.9° | Speed: 0.126 |  25 km/h
[21:50:25] Angle: 168.1° | Speed: 0.134 |  26 km/h
[21:50:25] Angle: 167.9° | Speed: 0.141 |  28 km/h
[21:50:25] Angle: 166.6° | Speed: 0.149 |  29 km/h
[21:50:25] Angle: 166.1° | Speed: 0.156 |  31 km/h
[21:50:25] Angle: 166.1° | Speed: 0.161 |  32 km/h
[21:50:25] Angle: 164.7° | Speed: 0.168 |  33 km/h
[21:50:25] Angle: 163.6° | Speed: 0.175 |  35 km/h
[21:50:25] Angle: 161.3° | Speed: 0.184 |  36 km/h
[21:50:26] Angle: 160.0° | Speed: 0.194 |  38 km/h
[21:50:26] Angle: 159.3° | Speed: 0.202 |  40 km/h
[21:50:26] Angle: 158.6° | Speed: 0.210 |  42 km/h
[21:50:26] Angle: 157.9° | Speed: 0.217 |  43 km/h
[21:50:26] Angle: 156.6° | Speed: 0.225 |  45 km/h
[21:50:26] Angle: 155.3° | Speed: 0.234 |  46 km/h
[21:50:26] Angle: 156.3° | Speed: 0.239 |  47 km/h
[21:50:26] Angle: 156.3° | Speed: 0.243 |  48 km/h
[21:50:26] Angle: 154.9° | Speed: 0.248 |  49 km/h
[21:50:27] Angle: 154.0° | Speed: 0.254 |  50 km/h
[21:50:27] Angle: 154.0° | Speed: 0.259 |  51 km/h
[21:50:27] Angle: 153.1° | Speed: 0.264 |  52 km/h
[21:50:27] Angle: 152.3° | Speed: 0.269 |  53 km/h
[21:50:27] Angle: 149.0° | Speed: 0.278 |  55 km/h
[21:50:27] Angle: 148.4° | Speed: 0.286 |  57 km/h
[21:50:27] Angle: 148.1° | Speed: 0.294 |  58 km/h
[21:50:27] Angle: 146.9° | Speed: 0.301 |  60 km/h
[21:50:27] Angle: 146.3° | Speed: 0.308 |  61 km/h
[21:50:28] Angle: 145.7° | Speed: 0.315 |  62 km/h
[21:50:28] Angle: 144.8° | Speed: 0.321 |  64 km/h
[21:50:28] Angle: 144.4° | Speed: 0.327 |  65 km/h
[21:50:28] Angle: 143.8° | Speed: 0.333 |  66 km/h
[21:50:28] Angle: 142.3° | Speed: 0.340 |  67 km/h
[21:50:28] Angle: 141.8° | Speed: 0.346 |  69 km/h
[21:50:28] Angle: 141.8° | Speed: 0.351 |  70 km/h
[21:50:28] Angle: 140.8° | Speed: 0.356 |  71 km/h
[21:50:29] Angle: 140.3° | Speed: 0.362 |  72 km/h
[21:50:29] Angle: 139.8° | Speed: 0.366 |  73 km/h
[21:50:29] Angle: 139.3° | Speed: 0.371 |  74 km/h
[21:50:29] Angle: 138.4° | Speed: 0.376 |  75 km/h
[21:50:29] Angle: 137.9° | Speed: 0.381 |  76 km/h
[21:50:29] Angle: 137.4° | Speed: 0.386 |  77 km/h
[21:50:29] Angle: 136.9° | Speed: 0.390 |  78 km/h
[21:50:29] Angle: 136.0° | Speed: 0.396 |  79 km/h
[21:50:29] Angle: 135.5° | Speed: 0.400 |  80 km/h
[21:50:30] Angle: 135.0° | Speed: 0.405 |  80 km/h
[21:50:30] Angle: 134.5° | Speed: 0.409 |  81 km/h
[21:50:30] Angle: 134.0° | Speed: 0.413 |  82 km/h
[21:50:30] Angle: 133.1° | Speed: 0.418 |  83 km/h
[21:50:30] Angle: 132.7° | Speed: 0.423 |  84 km/h
[21:50:30] Angle: 132.2° | Speed: 0.427 |  85 km/h
[21:50:30] Angle: 131.7° | Speed: 0.431 |  86 km/h
[21:50:30] Angle: 131.2° | Speed: 0.435 |  87 km/h
[21:50:31] Angle: 130.7° | Speed: 0.440 |  87 km/h
[21:50:31] Angle: 130.3° | Speed: 0.443 |  88 km/h
[21:50:31] Angle: 129.8° | Speed: 0.447 |  89 km/h
[21:50:31] Angle: 129.4° | Speed: 0.451 |  90 km/h
[21:50:31] Angle: 128.9° | Speed: 0.455 |  90 km/h
[21:50:31] Angle: 128.5° | Speed: 0.459 |  91 km/h
[21:50:31] Angle: 128.0° | Speed: 0.462 |  92 km/h
[21:50:31] Angle: 127.1° | Speed: 0.467 |  93 km/h
[21:50:31] Angle: 127.1° | Speed: 0.470 |  93 km/h
[21:50:32] Angle: 126.6° | Speed: 0.473 |  94 km/h
[21:50:32] Angle: 126.2° | Speed: 0.477 |  95 km/h
[21:50:32] Angle: 125.7° | Speed: 0.480 |  96 km/h
[21:50:32] Angle: 125.7° | Speed: 0.483 |  96 km/h
[21:50:32] Angle: 125.2° | Speed: 0.486 |  97 km/h
[21:50:32] Angle: 124.8° | Speed: 0.489 |  97 km/h
[21:50:32] Angle: 124.2° | Speed: 0.493 |  98 km/h
[21:50:32] Angle: 123.9° | Speed: 0.496 |  99 km/h
[21:50:33] Angle: 123.3° | Speed: 0.499 |  99 km/h
[21:50:33] Angle: 123.0° | Speed: 0.503 | 100 km/h
[21:50:33] Angle: 122.4° | Speed: 0.506 | 101 km/h
[21:50:33] Angle: 122.1° | Speed: 0.509 | 101 km/h
[21:50:33] Angle: 121.7° | Speed: 0.512 | 102 km/h
[21:50:33] Angle: 121.5° | Speed: 0.515 | 103 km/h
[21:50:33] Angle: 121.2° | Speed: 0.518 | 103 km/h
[21:50:33] Angle: 121.0° | Speed: 0.521 | 104 km/h
[21:50:33] Angle: 120.6° | Speed: 0.523 | 104 km/h
[21:50:34] Angle: 120.6° | Speed: 0.525 | 105 km/h
[21:50:34] Angle: 120.1° | Speed: 0.528 | 105 km/h
[21:50:34] Angle: 119.7° | Speed: 0.530 | 106 km/h
[21:50:34] Angle: 119.5° | Speed: 0.533 | 106 km/h
[21:50:34] Angle: 119.2° | Speed: 0.535 | 107 km/h
[21:50:34] Angle: 118.6° | Speed: 0.538 | 107 km/h
[21:50:34] Angle: 118.3° | Speed: 0.541 | 108 km/h
[21:50:34] Angle: 118.3° | Speed: 0.543 | 108 km/h
[21:50:35] Angle: 117.7° | Speed: 0.545 | 109 km/h
[21:50:35] Angle: 117.4° | Speed: 0.548 | 109 km/h
[21:50:35] Angle: 117.1° | Speed: 0.550 | 110 km/h
[21:50:35] Angle: 116.9° | Speed: 0.553 | 110 km/h
[21:50:35] Angle: 116.9° | Speed: 0.555 | 110 km/h
[21:50:35] Angle: 116.6° | Speed: 0.557 | 111 km/h
[21:50:35] Angle: 116.0° | Speed: 0.559 | 111 km/h
[21:50:35] Angle: 116.0° | Speed: 0.561 | 112 km/h
[21:50:35] Angle: 116.1° | Speed: 0.563 | 112 km/h
